,Elevation,Time,Latitude,Longitude,Name,Description,Order,Nights,Arrival,Icon,Notes
1,350.5,2023-06-02 18:39:36,49.9276806,-119.5104682,Bear Creek Campground,https://bcparks.ca/bear-creek-park/,8,2,2023-07-24,bed,
2,NA,2023-06-02 19:05:50,49.1523705,-122.9693298,CanaDream,Udlejning,1,0,2023-07-16,car,Udlejningsselskab
3,NA,2023-06-02 18:25:31,50.7790985,-121.079483,Juniper Beach Provincial Campground,https://bcparks.ca/juniper-beach-park/,5,1,2023-07-20,bed,
5,1085,2023-06-02 18:42:17,49.0888761,-120.6837738,E.C. Manning Park - Mule Deer Campground,https://bcparks.ca/ec-manning-park/,10,2,2023-07-27,bed,
6,251.5,2023-06-02 18:23:56,50.2959023,-122.8163376,Nairn Falls Campground,https://bcparks.ca/nairn-falls-park/,3,2,2023-07-17,bed,
7,68,2023-06-02 18:21:10,49.829422,-123.1500473,Paradise Valley Campground,https://paradisevalleycampground.net/,2,1,2023-07-16,bed,
8,903,2023-06-02 18:27:08,50.7301292,-120.0338669,Pinantan Lake,https://www.pinantanlake.bc.ca/,6,2,2023-07-21,bed,
9,355.8,2023-06-02 18:37:33,50.551494,-119.1317242,Quilakwa RV & Campground,https://www.quilakwarvpark.com/rv-campground,7,1,2023-07-23,bed,
10,292,2023-06-02 18:25:05,50.6620979,-121.9253082,Texas Creek Campground,https://www.texascreekcampground.com/,4,1,2023-07-19,bed,
11,805.5,2023-06-02 18:41:08,49.3327994,-119.7218156,Twin Lakes Golf Course & RV Park,https://twinlakesgolfresort.com/,9,1,2023-07-26,bed,
13,NA,2023-06-02 19:05:50,49.1523705,-122.9693298,CanaDream,Udlejning,12,0,2023-07-30,car,Udlejningsselskab
12,NA,2023-04-05 07:10:27,49.0048106,-122.7024955,Ina & Richard,NA,11,1,2023-07-29,house,Parkering hos familie
